"Food_Code","Main_Food_Description","Subcode_Description","WWEIA_Category_Description","Portion_Description","Portion_Weight_(g)"
"11435000","yogurt, greek, ns as to type of milk, flavors other than fruit",NA,"yogurt, greek","5.3 oz container","150"
"11435000","yogurt, greek, ns as to type of milk, flavors other than fruit",NA,"yogurt, greek","6 oz container","170"
"11435000","yogurt, greek, ns as to type of milk, flavors other than fruit",NA,"yogurt, greek","container, nfs","150"
"11435000","yogurt, greek, ns as to type of milk, flavors other than fruit",NA,"yogurt, greek","cup","245"
"11435000","yogurt, greek, ns as to type of milk, flavors other than fruit",NA,"yogurt, greek","quantity not specified","150"
"11435010","yogurt, greek, whole milk, flavors other than fruit",NA,"yogurt, greek","5.3 oz container","150"
"11435010","yogurt, greek, whole milk, flavors other than fruit",NA,"yogurt, greek","6 oz container","170"
"11435010","yogurt, greek, whole milk, flavors other than fruit",NA,"yogurt, greek","container, nfs","150"
"11435010","yogurt, greek, whole milk, flavors other than fruit",NA,"yogurt, greek","cup","245"
"11435010","yogurt, greek, whole milk, flavors other than fruit",NA,"yogurt, greek","quantity not specified","150"
"11435020","yogurt, greek, low fat milk, flavors other than fruit",NA,"yogurt, greek","tube","57"
"11435020","yogurt, greek, low fat milk, flavors other than fruit",NA,"yogurt, greek","5.3 oz container","150"
"11435020","yogurt, greek, low fat milk, flavors other than fruit",NA,"yogurt, greek","6 oz container","170"
"11435020","yogurt, greek, low fat milk, flavors other than fruit",NA,"yogurt, greek","container, nfs","150"
"11435020","yogurt, greek, low fat milk, flavors other than fruit",NA,"yogurt, greek","cup","245"
"11435020","yogurt, greek, low fat milk, flavors other than fruit",NA,"yogurt, greek","quantity not specified","150"
"11435030","yogurt, greek, nonfat milk, flavors other than fruit",NA,"yogurt, greek","5.3 oz container","150"
"11435030","yogurt, greek, nonfat milk, flavors other than fruit",NA,"yogurt, greek","6 oz container","170"
"11435030","yogurt, greek, nonfat milk, flavors other than fruit",NA,"yogurt, greek","container, nfs","150"
"11435030","yogurt, greek, nonfat milk, flavors other than fruit",NA,"yogurt, greek","cup","245"
"11435030","yogurt, greek, nonfat milk, flavors other than fruit",NA,"yogurt, greek","quantity not specified","150"
"11435100","yogurt, greek, with oats",NA,"yogurt, greek","5.3 oz container","150"
"11435100","yogurt, greek, with oats",NA,"yogurt, greek","container, nfs","150"
"11435100","yogurt, greek, with oats",NA,"yogurt, greek","cup","245"
"11435100","yogurt, greek, with oats",NA,"yogurt, greek","quantity not specified","150"
"11436000","yogurt, liquid",NA,"yogurt, regular","bottle","93"
"11436000","yogurt, liquid",NA,"yogurt, regular","cup","245"
"11436000","yogurt, liquid",NA,"yogurt, regular","quantity not specified","93"
"11440010","chipotle dip, yogurt based",NA,"dips, gravies, other sauces","tablespoon","15"
"11440010","chipotle dip, yogurt based",NA,"dips, gravies, other sauces","individual container","70"
"11440010","chipotle dip, yogurt based",NA,"dips, gravies, other sauces","quantity not specified","60"
"11440020","dill dip, yogurt based",NA,"dips, gravies, other sauces","tablespoon","15"
"11440020","dill dip, yogurt based",NA,"dips, gravies, other sauces","individual container","70"
"11440020","dill dip, yogurt based",NA,"dips, gravies, other sauces","quantity not specified","60"
"11440030","onion dip, yogurt based",NA,"dips, gravies, other sauces","tablespoon","15"
"11440030","onion dip, yogurt based",NA,"dips, gravies, other sauces","individual container","70"
"11440030","onion dip, yogurt based",NA,"dips, gravies, other sauces","quantity not specified","60"
"11440040","ranch dip, yogurt based",NA,"dips, gravies, other sauces","tablespoon","15"
"11440040","ranch dip, yogurt based",NA,"dips, gravies, other sauces","individual container","70"
"11440040","ranch dip, yogurt based",NA,"dips, gravies, other sauces","quantity not specified","60"
"11440050","spinach dip, yogurt based",NA,"dips, gravies, other sauces","tablespoon","15"
"11440050","spinach dip, yogurt based",NA,"dips, gravies, other sauces","individual container","70"
"11440050","spinach dip, yogurt based",NA,"dips, gravies, other sauces","quantity not specified","60"
"11440060","tzatziki dip",NA,"dips, gravies, other sauces","tablespoon","15"
"11440060","tzatziki dip",NA,"dips, gravies, other sauces","individual container","70"
"11440060","tzatziki dip",NA,"dips, gravies, other sauces","quantity not specified","60"
"11440070","vegetable dip, yogurt based",NA,"dips, gravies, other sauces","tablespoon","15"
"11440070","vegetable dip, yogurt based",NA,"dips, gravies, other sauces","individual container","70"
"11440070","vegetable dip, yogurt based",NA,"dips, gravies, other sauces","quantity not specified","60"
"11446000","yogurt parfait, low fat, with fruit",NA,"yogurt, regular","mcdonald's parfait","150"
"11446000","yogurt parfait, low fat, with fruit",NA,"yogurt, regular","quantity not specified","150"
"11459990","frozen yogurt, nfs",NA,"ice cream and frozen dairy desserts","cup","175"
"11459990","frozen yogurt, nfs",NA,"ice cream and frozen dairy desserts","scoop","160"
"11459990","frozen yogurt, nfs",NA,"ice cream and frozen dairy desserts","small ice cream cup","160"
"11459990","frozen yogurt, nfs",NA,"ice cream and frozen dairy desserts","medium ice cream cup","320"
"11459990","frozen yogurt, nfs",NA,"ice cream and frozen dairy desserts","large ice cream cup","480"
"11459990","frozen yogurt, nfs",NA,"ice cream and frozen dairy desserts","quantity not specified","175"
"11460000","frozen yogurt, vanilla",NA,"ice cream and frozen dairy desserts","cup","175"
"11460000","frozen yogurt, vanilla",NA,"ice cream and frozen dairy desserts","scoop","160"
"11460000","frozen yogurt, vanilla",NA,"ice cream and frozen dairy desserts","small ice cream cup","160"
"11460000","frozen yogurt, vanilla",NA,"ice cream and frozen dairy desserts","medium ice cream cup","320"
"11460000","frozen yogurt, vanilla",NA,"ice cream and frozen dairy desserts","large ice cream cup","480"
"11460000","frozen yogurt, vanilla",NA,"ice cream and frozen dairy desserts","quantity not specified","175"
"11460100","frozen yogurt, chocolate",NA,"ice cream and frozen dairy desserts","cup","175"
"11460100","frozen yogurt, chocolate",NA,"ice cream and frozen dairy desserts","scoop","160"
"11460100","frozen yogurt, chocolate",NA,"ice cream and frozen dairy desserts","small ice cream cup","160"
"11460100","frozen yogurt, chocolate",NA,"ice cream and frozen dairy desserts","medium ice cream cup","320"
"11460100","frozen yogurt, chocolate",NA,"ice cream and frozen dairy desserts","large ice cream cup","480"
"11460100","frozen yogurt, chocolate",NA,"ice cream and frozen dairy desserts","quantity not specified","175"
"11460500","frozen yogurt, soft serve, vanilla",NA,"ice cream and frozen dairy desserts","cup","175"
"11460500","frozen yogurt, soft serve, vanilla",NA,"ice cream and frozen dairy desserts","quantity not specified","175"
"11460510","frozen yogurt, soft serve, chocolate",NA,"ice cream and frozen dairy desserts","cup","175"
"11460510","frozen yogurt, soft serve, chocolate",NA,"ice cream and frozen dairy desserts","quantity not specified","175"
"11461200","frozen yogurt sandwich",NA,"ice cream and frozen dairy desserts","sandwich","75"
"11461200","frozen yogurt sandwich",NA,"ice cream and frozen dairy desserts","quantity not specified","75"
"11461210","frozen yogurt bar, vanilla",NA,"ice cream and frozen dairy desserts","bar","65"
"11461210","frozen yogurt bar, vanilla",NA,"ice cream and frozen dairy desserts","quantity not specified","65"
"11461220","frozen yogurt bar, chocolate",NA,"ice cream and frozen dairy desserts","bar","65"
"11461220","frozen yogurt bar, chocolate",NA,"ice cream and frozen dairy desserts","quantity not specified","65"
"11461250","frozen yogurt cone, chocolate",NA,"ice cream and frozen dairy desserts","cone","125"
"11461250","frozen yogurt cone, chocolate",NA,"ice cream and frozen dairy desserts","quantity not specified","125"
"11461260","frozen yogurt cone, vanilla",NA,"ice cream and frozen dairy desserts","cone","125"
"11461260","frozen yogurt cone, vanilla",NA,"ice cream and frozen dairy desserts","quantity not specified","125"
"11461300","frozen yogurt cone, vanilla, waffle cone",NA,"ice cream and frozen dairy desserts","cone","255"
"11461300","frozen yogurt cone, vanilla, waffle cone",NA,"ice cream and frozen dairy desserts","quantity not specified","255"
"11461320","frozen yogurt cone, chocolate, waffle cone",NA,"ice cream and frozen dairy desserts","cone","255"
"11461320","frozen yogurt cone, chocolate, waffle cone",NA,"ice cream and frozen dairy desserts","quantity not specified","255"
"11480010","yogurt, whole milk, baby food",NA,"baby food: yogurt","container","113"
"11480010","yogurt, whole milk, baby food",NA,"baby food: yogurt","quantity not specified","85"
"11480020","yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",NA,"baby food: yogurt","container","113"
"11480020","yogurt, whole milk, baby food, with fruit and multigrain cereal puree, nfs",NA,"baby food: yogurt","quantity not specified","85"
"11480030","yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",NA,"baby food: yogurt","container","113"
"11480030","yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",NA,"baby food: yogurt","quantity not specified","85"
"11480040","yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus dha",NA,"baby food: yogurt","container","113"
"11480040","yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus dha",NA,"baby food: yogurt","quantity not specified","85"
"11511000","chocolate milk, nfs",NA,"flavored milk, nonfat","cup","248"
"11511000","chocolate milk, nfs",NA,"flavored milk, nonfat","fl oz","31"
"11511000","chocolate milk, nfs",NA,"flavored milk, nonfat","quantity not specified","248"
"11511000","chocolate milk, nfs",NA,"flavored milk, nonfat","individual school container","248"
"11511100","chocolate milk, ready to drink, whole",NA,"flavored milk, whole","cup","248"
"11511100","chocolate milk, ready to drink, whole",NA,"flavored milk, whole","fl oz","31"
"11511100","chocolate milk, ready to drink, whole",NA,"flavored milk, whole","quantity not specified","248"
"11511100","chocolate milk, ready to drink, whole",NA,"flavored milk, whole","individual school container","248"
"11511200","chocolate milk, ready to drink, reduced fat",NA,"flavored milk, reduced fat","cup","248"
"11511200","chocolate milk, ready to drink, reduced fat",NA,"flavored milk, reduced fat","fl oz","31"
"11511200","chocolate milk, ready to drink, reduced fat",NA,"flavored milk, reduced fat","quantity not specified","248"
"11511200","chocolate milk, ready to drink, reduced fat",NA,"flavored milk, reduced fat","individual school container","248"
"11511300","chocolate milk, ready to drink, fat free",NA,"flavored milk, nonfat","cup","248"
"11511300","chocolate milk, ready to drink, fat free",NA,"flavored milk, nonfat","fl oz","31"
"11511300","chocolate milk, ready to drink, fat free",NA,"flavored milk, nonfat","quantity not specified","248"
"11511300","chocolate milk, ready to drink, fat free",NA,"flavored milk, nonfat","individual school container","248"
"11511400","chocolate milk, ready to drink, low fat",NA,"flavored milk, lowfat","fl oz","31"
"11511400","chocolate milk, ready to drink, low fat",NA,"flavored milk, lowfat","cup","248"
"11511400","chocolate milk, ready to drink, low fat",NA,"flavored milk, lowfat","individual school container","248"
"11511400","chocolate milk, ready to drink, low fat",NA,"flavored milk, lowfat","quantity not specified","248"
"11511550","chocolate milk, ready to drink, reduced sugar, ns as to milk",NA,"flavored milk, lowfat","cup","248"
"11511550","chocolate milk, ready to drink, reduced sugar, ns as to milk",NA,"flavored milk, lowfat","fl oz","31"
"11511550","chocolate milk, ready to drink, reduced sugar, ns as to milk",NA,"flavored milk, lowfat","quantity not specified","248"
"11511600","chocolate milk, ready to drink, low fat (nesquik)",NA,"flavored milk, lowfat","cup","248"
"11511600","chocolate milk, ready to drink, low fat (nesquik)",NA,"flavored milk, lowfat","fl oz","31"
"11511600","chocolate milk, ready to drink, low fat (nesquik)",NA,"flavored milk, lowfat","quantity not specified","248"
"11511610","chocolate milk, ready to drink, fat free (nesquik)",NA,"flavored milk, nonfat","cup","248"
"11511610","chocolate milk, ready to drink, fat free (nesquik)",NA,"flavored milk, nonfat","fl oz","31"
"11511610","chocolate milk, ready to drink, fat free (nesquik)",NA,"flavored milk, nonfat","quantity not specified","248"
"11511700","chocolate milk, ready to drink, low fat, no sugar added (nesquik)",NA,"flavored milk, lowfat","cup","248"
"11511700","chocolate milk, ready to drink, low fat, no sugar added (nesquik)",NA,"flavored milk, lowfat","fl oz","31"
"11511700","chocolate milk, ready to drink, low fat, no sugar added (nesquik)",NA,"flavored milk, lowfat","quantity not specified","248"
"11512010","hot chocolate / cocoa, ready to drink",NA,"flavored milk, reduced fat","cup","248"
"11512010","hot chocolate / cocoa, ready to drink",NA,"flavored milk, reduced fat","fl oz","31"
"11512010","hot chocolate / cocoa, ready to drink",NA,"flavored milk, reduced fat","quantity not specified","248"
"11512020","hot chocolate / cocoa, ready to drink, made with nonfat milk",NA,"flavored milk, nonfat","cup","248"
"11512020","hot chocolate / cocoa, ready to drink, made with nonfat milk",NA,"flavored milk, nonfat","fl oz","31"
"11512020","hot chocolate / cocoa, ready to drink, made with nonfat milk",NA,"flavored milk, nonfat","quantity not specified","248"
"11512030","hot chocolate / cocoa, ready to drink, made with non-dairy milk",NA,"milk substitutes","cup","248"
"11512030","hot chocolate / cocoa, ready to drink, made with non-dairy milk",NA,"milk substitutes","fl oz","31"
"11512030","hot chocolate / cocoa, ready to drink, made with non-dairy milk",NA,"milk substitutes","quantity not specified","248"
"11512100","hot chocolate / cocoa, ready to drink, with whipped cream",NA,"flavored milk, reduced fat","cup","248"
"11512100","hot chocolate / cocoa, ready to drink, with whipped cream",NA,"flavored milk, reduced fat","fl oz","31"
"11512100","hot chocolate / cocoa, ready to drink, with whipped cream",NA,"flavored milk, reduced fat","quantity not specified","248"
"11512110","hot chocolate / cocoa, ready to drink, made with nonfat milk and whipped cream",NA,"flavored milk, nonfat","cup","248"
"11512110","hot chocolate / cocoa, ready to drink, made with nonfat milk and whipped cream",NA,"flavored milk, nonfat","fl oz","31"
"11512110","hot chocolate / cocoa, ready to drink, made with nonfat milk and whipped cream",NA,"flavored milk, nonfat","quantity not specified","248"
"11512120","hot chocolate / cocoa, ready to drink, made with non-dairy milk and whipped cream",NA,"milk substitutes","cup","248"
"11512120","hot chocolate / cocoa, ready to drink, made with non-dairy milk and whipped cream",NA,"milk substitutes","fl oz","31"
